start_time,end_time,ip_dst,port_dst,ip_src,port_src,protocol,packets,bytes,avg_pkt_size,duration_s,closed
1770744550.6083,1770744550.6513,192.168.1.138,65008,140.82.121.4,443,HTTPS,2,171,85.5,0.043,True
1770744550.6513,1770744550.6513,192.168.1.138,65008,140.82.121.4,443,HTTPS,4,288,72.0,0.0,False
1770744550.6085,1770744550.6092,140.82.121.4,443,192.168.1.138,65008,HTTPS,4,327,81.75,0.0007,True
1770744550.6515,1770744550.6515,140.82.121.4,443,192.168.1.138,65008,HTTPS,1,78,78.0,0.0,True
1770744550.6517,1770744550.6517,140.82.121.4,443,192.168.1.138,65008,HTTPS,1,54,54.0,0.0,True
1770744550.8847,1770744550.9782,192.168.1.138,65066,17.253.57.207,80,HTTP,4,733,183.25,0.0934,True
1770744550.8408,1770744550.9337,17.253.57.207,80,192.168.1.138,65066,HTTP,5,486,97.2,0.0929,True
1770744550.9784,1770744550.9784,17.253.57.207,80,192.168.1.138,65066,HTTP,1,66,66.0,0.0,False
1770744550.9979,1770744551.0235,192.168.1.138,65067,216.58.215.174,80,HTTP,4,399,99.75,0.0256,True
1770744550.9868,1770744551.011,216.58.215.174,80,192.168.1.138,65067,HTTP,5,488,97.6,0.0241,True
1770744551.0237,1770744551.0237,216.58.215.174,80,192.168.1.138,65067,HTTP,1,66,66.0,0.0,False
1770744551.0431,1770744551.0675,192.168.1.138,65068,79.116.255.35,80,HTTP,4,464,116.0,0.0245,True
1770744551.0321,1770744551.0561,79.116.255.35,80,192.168.1.138,65068,HTTP,5,495,99.0,0.024,True
1770744551.0677,1770744551.0677,79.116.255.35,80,192.168.1.138,65068,HTTP,1,66,66.0,0.0,False
1770744560.6629,1770744560.7834,140.82.114.22,443,192.168.1.138,65019,HTTPS,2,171,85.5,0.1205,False
1770744560.7832,1770744560.7832,192.168.1.138,65019,140.82.114.22,443,HTTPS,1,105,105.0,0.0,False
1770744561.1554,1770744561.1722,192.168.1.138,64809,34.107.243.93,443,HTTPS,2,156,78.0,0.0168,False
1770744561.1556,1770744561.1559,34.107.243.93,443,192.168.1.138,64809,HTTPS,2,160,80.0,0.0003,False
1770744568.4867,1770744570.6895,23.46.85.220,443,192.168.1.138,64889,HTTPS,6,3355,559.17,2.2028,False
1770744568.5046,1770744570.6894,192.168.1.138,64889,23.46.85.220,443,HTTPS,6,3629,604.83,2.1848,False
1770744568.6307,1770744581.7145,155.133.246.52,443,192.168.1.138,64867,HTTPS,61,6479,106.21,13.0838,False
1770744568.6452,1770744581.733,192.168.1.138,64867,155.133.246.52,443,HTTPS,82,96046,1171.29,13.0878,False
1770744569.6582,1770744569.9239,104.83.34.182,443,192.168.1.138,64894,HTTPS,3,1606,535.33,0.2657,False
1770744569.7149,1770744569.9235,192.168.1.138,64894,104.83.34.182,443,HTTPS,7,7135,1019.29,0.2086,False
1770744570.1815,1770744574.699,104.83.34.182,443,192.168.1.138,65047,HTTPS,4,872,218.0,4.5175,False
1770744570.1991,1770744574.6988,192.168.1.138,65047,104.83.34.182,443,HTTPS,2,2108,1054.0,4.4997,False
1770744570.3055,1770744570.4026,23.46.85.220,443,192.168.1.138,65087,HTTPS,13,4226,325.08,0.0971,False
1770744570.3189,1770744570.4024,192.168.1.138,65087,23.46.85.220,443,HTTPS,14,12018,858.43,0.0835,False
1770744570.3343,1770744570.3826,23.46.85.220,443,192.168.1.138,65088,HTTPS,7,2382,340.29,0.0483,False
1770744570.3359,1770744570.389,23.46.85.220,443,192.168.1.138,65089,HTTPS,10,3304,330.4,0.0531,False
1770744570.3478,1770744570.3825,192.168.1.138,65088,23.46.85.220,443,HTTPS,9,4406,489.56,0.0347,False
1770744570.3488,1770744570.3888,192.168.1.138,65089,23.46.85.220,443,HTTPS,13,7858,604.46,0.0401,False
1770744570.4002,1770744570.4272,199.232.35.52,443,192.168.1.138,64895,HTTPS,17,1401,82.41,0.027,False
1770744570.4149,1770744570.432,192.168.1.138,64895,199.232.35.52,443,HTTPS,67,89088,1329.67,0.0171,False
1770744574.2747,1770744574.3011,151.101.135.52,443,192.168.1.138,65057,HTTPS,31,2965,95.65,0.0264,False
1770744574.2915,1770744574.3101,192.168.1.138,65057,151.101.135.52,443,HTTPS,108,135403,1253.73,0.0186,False
1770744574.4601,1770744576.2816,23.46.85.220,443,192.168.1.138,65092,HTTPS,65,10768,165.66,1.8216,False
1770744574.4733,1770744576.2815,192.168.1.138,65092,23.46.85.220,443,HTTPS,103,136553,1325.76,1.8082,False
1770744575.63,1770744576.23,151.101.135.52,443,192.168.1.138,65093,HTTPS,50,6422,128.44,0.6,False
1770744575.6303,1770744576.1578,151.101.135.52,443,192.168.1.138,65094,HTTPS,134,15238,113.72,0.5274,False
1770744575.632,1770744581.1863,151.101.135.52,443,192.168.1.138,65095,HTTPS,204,21515,105.47,5.5543,False
1770744575.6464,1770744576.2298,192.168.1.138,65093,151.101.135.52,443,HTTPS,117,138192,1181.13,0.5834,False
1770744575.6464,1770744576.1577,192.168.1.138,65094,151.101.135.52,443,HTTPS,1676,2424014,1446.31,0.5113,False
1770744575.6478,1770744581.1959,192.168.1.138,65095,151.101.135.52,443,HTTPS,3526,5132277,1455.55,5.5482,False
1770744576.0791,1770744576.3166,104.83.34.182,443,192.168.1.138,65096,HTTPS,11,3539,321.73,0.2375,False
1770744576.0923,1770744576.3165,192.168.1.138,65096,104.83.34.182,443,HTTPS,15,5295,353.0,0.2241,False
1770744577.7158,1770744577.7158,192.168.1.138,65041,199.232.211.82,443,HTTPS,1,66,66.0,0.0,True
1770744577.7158,1770744577.7158,192.168.1.138,65041,199.232.211.82,443,HTTPS,2,156,78.0,0.0,False
1770744577.6983,1770744577.6983,199.232.211.82,443,192.168.1.138,65041,HTTPS,1,66,66.0,0.0,True
1770744577.7161,1770744577.7162,199.232.211.82,443,192.168.1.138,65041,HTTPS,2,132,66.0,0.0002,True
1770744578.7103,1770744578.7266,185.199.109.154,443,192.168.1.138,65014,HTTPS,2,171,85.5,0.0164,False
1770744578.7259,1770744578.7265,192.168.1.138,65014,185.199.109.154,443,HTTPS,2,171,85.5,0.0006,False
1770744579.7199,1770744579.734,34.120.208.123,443,192.168.1.138,64947,HTTPS,2,178,89.0,0.0141,False
1770744579.7338,1770744579.7338,192.168.1.138,64947,34.120.208.123,443,HTTPS,2,178,89.0,0.0,False
1770744579.9815,1770744580.1321,192.168.1.138,65042,140.82.112.26,443,HTTPS,2,157,78.5,0.1506,False
1770744579.9817,1770744579.982,140.82.112.26,443,192.168.1.138,65042,HTTPS,2,161,80.5,0.0003,False
